danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,main_artist,playlist
0.73,0.944,3,-3.48,0,0.164,0.266,0.00443,0.0354,0.657,113.309,audio_features,4ila6GeGBPGmJTGRoHOV5E,spotify:track:4ila6GeGBPGmJTGRoHOV5E,https://api.spotify.com/v1/tracks/4ila6GeGBPGmJTGRoHOV5E,https://api.spotify.com/v1/audio-analysis/4ila6GeGBPGmJTGRoHOV5E,273319,3,49,Shreya Ghoshal,Hindi
0.645,0.914,4,-5.772,0,0.15,0.198,0,0.396,0.533,130.941,audio_features,1UV1ej70vDBIdPUEJ40ZG1,spotify:track:1UV1ej70vDBIdPUEJ40ZG1,https://api.spotify.com/v1/tracks/1UV1ej70vDBIdPUEJ40ZG1,https://api.spotify.com/v1/audio-analysis/1UV1ej70vDBIdPUEJ40ZG1,303387,4,36,Kavita Krishnamurthy,Hindi
0.746,0.565,4,-8.993,0,0.101,0.122,0.000286,0.0904,0.462,100.972,audio_features,0hp4qW1zgKnBBiyyAdW3Sz,spotify:track:0hp4qW1zgKnBBiyyAdW3Sz,https://api.spotify.com/v1/tracks/0hp4qW1zgKnBBiyyAdW3Sz,https://api.spotify.com/v1/audio-analysis/0hp4qW1zgKnBBiyyAdW3Sz,362027,4,24,A.R. Rahman,Hindi
0.879,0.487,0,-9.441,1,0.148,0.337,0.000284,0.0706,0.338,116.991,audio_features,32DWojMZeZebVrfBkhAkKy,spotify:track:32DWojMZeZebVrfBkhAkKy,https://api.spotify.com/v1/tracks/32DWojMZeZebVrfBkhAkKy,https://api.spotify.com/v1/audio-analysis/32DWojMZeZebVrfBkhAkKy,329600,4,41,A.R. Rahman,Hindi
0.906,0.699,0,-5.526,1,0.0462,0.13,0.0165,0.178,0.938,129.946,audio_features,4J9n7thOdqi8gxRGNyQoVC,spotify:track:4J9n7thOdqi8gxRGNyQoVC,https://api.spotify.com/v1/tracks/4J9n7thOdqi8gxRGNyQoVC,https://api.spotify.com/v1/audio-analysis/4J9n7thOdqi8gxRGNyQoVC,255907,4,43,Amit Trivedi,Hindi
0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,audio_features,3fPgIknlkDWXs1l2noKZbp,spotify:track:3fPgIknlkDWXs1l2noKZbp,https://api.spotify.com/v1/tracks/3fPgIknlkDWXs1l2noKZbp,https://api.spotify.com/v1/audio-analysis/3fPgIknlkDWXs1l2noKZbp,187711,4,40,Badshah,Hindi
0.809,0.831,5,-4.043,0,0.06,0.0162,0.00276,0.0534,0.83,112.016,audio_features,61lJAFZuozwBfomLIHKjRS,spotify:track:61lJAFZuozwBfomLIHKjRS,https://api.spotify.com/v1/tracks/61lJAFZuozwBfomLIHKjRS,https://api.spotify.com/v1/audio-analysis/61lJAFZuozwBfomLIHKjRS,242377,4,41,Miss Pooja,Hindi
0.71,0.812,6,-2.497,0,0.119,0.108,2.14e-06,0.465,0.908,131.983,audio_features,2h1d6XPdBms5i7YwyfOO7q,spotify:track:2h1d6XPdBms5i7YwyfOO7q,https://api.spotify.com/v1/tracks/2h1d6XPdBms5i7YwyfOO7q,https://api.spotify.com/v1/audio-analysis/2h1d6XPdBms5i7YwyfOO7q,238427,4,36,Salim–Sulaiman,Hindi
0.599,0.653,0,-7.576,0,0.122,0.362,0,0.144,0.678,79.968,audio_features,0gRNu9dVzi5aC87AI1empZ,spotify:track:0gRNu9dVzi5aC87AI1empZ,https://api.spotify.com/v1/tracks/0gRNu9dVzi5aC87AI1empZ,https://api.spotify.com/v1/audio-analysis/0gRNu9dVzi5aC87AI1empZ,284573,4,44,Monty Sharma,Hindi
0.53,0.944,8,-2.997,0,0.242,0.00573,1.24e-06,0.216,0.57,178.07,audio_features,4vcry9xhF4JsdVxjQm63R1,spotify:track:4vcry9xhF4JsdVxjQm63R1,https://api.spotify.com/v1/tracks/4vcry9xhF4JsdVxjQm63R1,https://api.spotify.com/v1/audio-analysis/4vcry9xhF4JsdVxjQm63R1,290638,4,31,Aditya Narayan,Hindi
